name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
1877822_23ch0,220723,1877822,1877839,19:17:11.984000000,19:17:11.984000000,239.6609525790363,237.69728648009425,250.0,27800.0,906.335136523794,2.351380833614863,ch0,0,0,0,1.3898940028546782,-0.38862938,530.0311,5455.2056,270.1545,0.014982444,0.62380075
1911595_23ch0,220723,1911595,1911605,19:17:15.088000000,19:17:15.088000000,100.2066829624892,100.0,110.0,2900.0,204.8528137423857,1.151531984301814,ch0,0,11,0,2.227223903380501,-0.2088441,529.5275,5461.6865,270.23108,0.021307362,0.19952422
1929542_23ch0,220723,1929542,1929559,19:17:16.742000000,19:17:16.742000000,229.6957972812432,215.870331449229,234.0939982143925,25400.0,944.9747468305832,2.797672183681009,ch0,0,0,0,1.2649062954816015,0.1737121,528.9714,5470.8564,270.3786,0.008302751,0.14066961
1931800_23ch0,220723,1931800,1931821,19:17:16.945000000,19:17:16.945000000,293.93181009325536,269.07248094147417,278.0287754891569,29600.0,1167.045814642449,3.6616281297891904,ch0,0,0,0,1.6587594261220373,0.1737121,528.9714,5470.8564,270.3786,0.011025622,0.18244597
568288_25ch0,220725,568288,568296,19:18:57.660000000,19:18:57.660000000,167.43092945527818,152.97058540778357,170.8800749063506,10800.0,429.70562748477136,1.3605310669495168,ch0,0,0,0,1.9638499313832647,-1.9555154,396.23196,7680.636,256.87604,0.06851016,0.35980892
632374_25ch0,220725,632374,632385,19:20:43.350000000,19:20:43.350000000,126.13712929142748,114.0175425099138,126.49110640673518,4500.0,275.208152801713,1.339368907571734,ch0,0,0,0,2.484134356255096,-2.32096,395.40097,7698.2246,257.8288,0.02687591,0.20785707
711126_25ch0,220725,711126,711140,19:20:51.961000000,19:20:51.961000000,153.86115449633883,143.17821063276352,152.97058540778357,5000.0,321.06601717798213,1.640623065322335,ch0,0,0,0,3.0126345914982,-1.7227407,395.50085,7699.103,257.7593,0.022849558,0.08423863
756738_25ch0,220725,756738,756760,19:20:57.406000000,19:20:57.406000000,231.6851172237109,250.0,260.768096208106,30200.0,825.9797974644666,1.797719971641696,ch0,0,0,0,1.325504504087012,-1.6805282,395.3433,7700.1353,257.9705,0.0035184536,0.10554574
779809_25ch0,220725,779809,779816,19:21:00.011000000,19:21:00.011000000,120.0670101126826,108.16653826391968,122.06555615733704,3800.0,255.5634918610405,1.3677419463956455,ch0,0,0,0,2.8422967827115206,-2.13709,395.33713,7701.7573,258.05826,0.0,0.0794605
786934_25ch0,220725,786934,786956,19:21:01.196000000,19:21:01.196000000,286.1319472478922,317.6476034853718,326.49655434629017,29800.0,1137.401153701776,3.4546273006699963,ch0,0,0,0,1.487363653232074,-2.3152,395.5091,7700.909,257.96588,0.0,0.09645282
832947_25ch0,220725,832947,832955,19:21:07.452000000,19:21:07.452000000,130.68113502722787,100.0,120.41594578792296,3600.0,267.2792206135785,1.5791305214555027,ch0,0,0,0,3.157835053683565,-2.026036,396.0013,7686.0933,257.85144,0.0040153977,0.09571384
867221_25ch0,220725,867221,867239,19:21:16.297000000,19:21:16.297000000,305.414137047332,303.6445290137795,315.75306807693886,36000.0,1021.18795026618,2.30514897828716,ch0,0,0,0,1.9119118185517576,-1.8253608,396.57178,7677.226,257.96457,0.0022765147,0.03325189
1201988_25ch0,220725,1201988,1202008,19:25:49.953000000,19:25:49.953000000,343.39993881552584,343.6568055487916,353.5533905932738,52000.0,1059.8275605729689,1.718926117939684,ch0,0,0,0,1.7338354563638794,-1.9039223,356.58783,8473.768,252.68929,0.015196937,0.23326357
1203352_25ch0,220725,1203352,1203367,19:25:49.968000000,19:25:49.968000000,205.6211789815072,205.91260281974,214.7091055358389,17700.0,802.842712474619,2.897862725976544,ch0,0,0,0,1.3353351506582316,-1.9039223,356.58783,8473.768,252.68929,0.012589383,0.29262584
1229138_25ch0,220725,1229138,1229152,19:25:51.014000000,19:25:51.014000000,236.90981406107568,225.6102834535696,237.69728648009425,19600.0,872.193000900063,3.088582875174433,ch0,0,0,0,1.6353236662303288,-1.5077727,356.65063,8472.819,252.70132,0.0011233584,0.34225285
1319552_25ch0,220725,1319552,1319567,19:25:54.414000000,19:25:54.414000000,287.492129624269,284.42925306655786,296.141857899217,32600.0,855.269119345812,1.7855750914633677,ch0,0,0,0,1.9015934384819189,-1.0862921,356.82156,8468.344,252.39249,0.008720556,0.3785112
1401572_25ch0,220725,1401572,1401586,19:25:58.065000000,19:25:58.065000000,220.1699227132876,199.24858845171275,211.8962010041709,19900.0,829.4112549695427,2.750913333431865,ch0,0,0,0,1.4476788570924062,-1.312883,356.93173,8467.608,252.53406,0.0035900788,0.23273465
1407561_25ch0,220725,1407561,1407576,19:25:58.408000000,19:25:58.408000000,222.56219744412792,225.6102834535696,237.69728648009425,22700.0,777.3401871576773,2.1182953843906853,ch0,0,0,0,1.4639161209529536,-1.312883,356.93173,8467.608,252.53406,0.004402068,0.27160865
1432971_25ch0,220725,1432971,1433004,19:25:59.812000000,19:25:59.812000000,327.1091881387053,347.85054261852173,360.5551275463989,52000.0,1586.101730552664,3.849894869999494,ch0,0,0,0,1.3177159629341832,-1.307177,356.803,8468.872,252.45473,0.039673213,0.15597373
