name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
364115_19ch0,220719,364115,364180,19:04:04.624000000,19:04:04.624000000,824.9194110086995,869.2525524840291,882.3831367382311,264600.0,5807.777413171634,10.144256523259331,ch0,0,0,0,1.5073630229814332,0.43608752,428.62976,7139.6304,261.3612,0.008301605,0.029498398
364115_19ch0,220719,364115,364124,19:04:04.624000000,19:04:04.624000000,202.94417566554344,155.24174696260025,170.8800749063506,7700.0,627.6345596729059,4.071112553121838,ch0,0,0,0,1.7896655881284695,0.43608752,428.62976,7139.6304,261.3612,0.008301605,0.029498398
806361_19ch0,220719,806361,806380,19:11:06.881000000,19:11:06.881000000,313.91765412906864,291.547594742265,303.6445290137795,35200.0,1034.9747468305832,2.4216254877834884,ch0,0,0,0,1.909872151962267,6.612438e-05,451.98834,6729.8833,263.03412,0.004091413,0.19165337
806361_19ch0,220719,806361,806371,19:11:06.881000000,19:11:06.881000000,125.11257020858578,104.40306508910552,120.83045973594572,3900.0,258.99494936611666,1.3686995328119091,ch0,0,0,0,2.8770315163162685,6.612438e-05,451.98834,6729.8833,263.03412,0.004091413,0.19165337
830185_19ch0,220719,830185,830221,19:11:11.327000000,19:11:11.327000000,546.975205921078,530.0943312279428,540.8326913195983,82900.0,2226.51803615609,4.758696864110925,ch0,0,0,0,2.076258375155908,0.44460255,452.15314,6729.3623,263.61365,0.0,0.096942514
830185_19ch0,220719,830185,830198,19:11:11.327000000,19:11:11.327000000,141.62088522603486,130.384048104053,141.4213562373095,5900.0,322.78174593052023,1.4052579699072447,ch0,0,0,0,2.453529704477104,0.44460255,452.15314,6729.3623,263.61365,0.0,0.096942514
1188953_19ch0,220719,1188953,1188964,19:15:08.588000000,19:15:08.588000000,130.00055234803148,120.83045973594572,130.0,2900.0,226.56854249492383,1.4086119221006903,ch0,0,0,0,2.994171100372527,-0.32854366,463.52786,6538.0825,263.90796,0.015428569,0.017651306
1188953_19ch0,220719,1188953,1188968,19:15:08.588000000,19:15:08.588000000,202.51021826654835,215.40659228538016,228.4731931759173,19600.0,675.918830920368,1.854911340935816,ch0,0,0,0,1.3579149423684151,-0.32854366,463.52786,6538.0825,263.90796,0.015428569,0.017651306
1403973_19ch0,220719,1403973,1403987,19:20:03.585000000,19:20:03.585000000,188.0089444414094,178.04493814764857,192.09372712298543,16200.0,735.5634918610405,2.657758116183616,ch0,13,0,0,1.2746887337672246,1.2434211,472.3631,6388.004,264.4714,0.0,0.29272678
1403973_19ch0,220719,1403973,1403984,19:20:03.585000000,19:20:03.585000000,108.53789418561206,110.0,120.0,3300.0,230.7106781186548,1.2835464429152157,ch0,0,0,0,2.349983481195803,1.2434211,472.3631,6388.004,264.4714,0.0,0.29272678
